,time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
2967,1180277.0,180.0,67.0,794.0,270.0,65.0,841.0,268.0,25.0
2968,1180429.0,180.0,67.0,794.0,270.0,65.0,841.0,266.0,25.0
2969,1180582.0,180.0,67.0,793.0,270.0,65.0,841.0,268.0,25.0
2970,1180734.0,180.0,67.0,794.0,270.0,65.0,841.0,268.0,25.0
2971,1180887.0,180.0,67.0,794.0,270.0,65.0,841.0,266.0,25.0
2972,1181039.0,180.0,67.0,794.0,270.0,65.0,842.0,268.0,25.0
2973,1181191.0,180.0,67.0,794.0,270.0,65.0,842.0,268.0,25.0
2974,1181344.0,180.0,67.0,794.0,270.0,65.0,841.0,266.0,25.0
2975,1181496.0,180.0,67.0,794.0,270.0,65.0,841.0,268.0,25.0
2996,1188698.0,180.0,67.0,615.0,305.0,65.0,644.0,321.0,25.0
2997,1188850.0,180.0,67.0,669.0,288.0,65.0,645.0,321.0,25.0
2927,1170179.0,180.0,67.0,796.0,270.0,65.0,844.0,269.0,24.0
2823,1146325.0,180.0,67.0,792.0,272.0,65.0,841.0,266.0,23.0
3260,1248943.0,180.0,67.0,792.0,269.0,65.0,836.0,271.0,28.0
3262,1249248.0,180.0,67.0,792.0,269.0,65.0,836.0,269.0,28.0
3565,1323440.0,180.0,67.0,793.0,268.0,65.0,837.0,268.0,31.0
3566,1323592.0,180.0,67.0,793.0,269.0,65.0,837.0,268.0,31.0
3567,1323745.0,180.0,67.0,794.0,267.0,65.0,837.0,268.0,31.0
3568,1323897.0,180.0,67.0,794.0,269.0,65.0,837.0,268.0,31.0
3569,1324050.0,180.0,67.0,793.0,269.0,65.0,837.0,268.0,31.0
3570,1324202.0,180.0,67.0,794.0,269.0,65.0,837.0,268.0,31.0
3571,1324355.0,180.0,67.0,794.0,267.0,65.0,837.0,268.0,31.0
3572,1324507.0,180.0,67.0,793.0,269.0,65.0,837.0,268.0,31.0
3573,1324659.0,180.0,67.0,794.0,269.0,65.0,837.0,268.0,31.0
3574,1324812.0,180.0,67.0,794.0,267.0,65.0,837.0,268.0,31.0
3575,1324964.0,180.0,67.0,794.0,268.0,65.0,836.0,268.0,31.0
