t1,t2,command,measured,position
86117069,86117069,61,317,886
86126736,86126736,61,317,888
86136408,86136408,61,317,888
86147186,86147186,61,317,886
86156861,86156862,61,317,886
86166531,86166531,61,317,884
86176207,86176208,61,317,886
86185878,86185878,61,317,885
86195991,86195993,61,317,886
86205662,86205663,61,318,885
86215337,86215337,61,318,888
86225008,86225008,61,317,886
86234679,86234680,61,317,887
86244350,86244350,61,317,886
86254024,86254024,61,317,885
86263691,86263691,61,317,886
86274041,86274042,61,317,887
86283712,86283712,61,317,887
86293384,86293385,61,317,887
86303060,86303061,61,317,886
86312729,86312730,61,318,885
86323454,86323454,61,318,886
86333126,86333126,61,319,886
86342797,86342797,61,319,888
86352464,86352464,61,319,887
86362139,86362139,61,319,886
86372283,86372284,61,319,886
86381957,86381958,61,319,886
86391627,86391628,61,319,885
86402089,86402089,61,319,887
86411760,86411761,61,318,887
86421432,86421433,61,318,887
86431105,86431105,61,319,886
86440784,86440784,61,319,886
86451491,86451491,61,319,888
86461167,86461167,61,318,887
86470836,86470837,61,318,886
86480508,86480509,61,317,885
86490177,86490177,61,317,886
86500366,86500367,61,317,887
86510037,86510038,61,317,885
86519708,86519709,61,317,885
86529376,86529376,61,317,884
86539052,86539052,61,316,886
86548719,86548720,61,316,886
86558394,86558395,61,316,887
86568066,86568067,61,316,885
86578502,86578503,61,316,885
86588171,86588172,61,316,886
86597845,86597845,61,316,887
86607514,86607514,61,316,888
86617189,86617189,61,316,886
86627947,86627947,61,316,886
86637625,86637626,61,316,886
86647295,86647296,61,316,887
86656971,86656972,61,316,886
86666671,86666671,61,316,885
86676880,86676880,61,316,887
86686550,86686550,61,316,885
86696228,86696228,61,316,886
86705896,86705897,61,318,886
86715563,86715564,61,317,886
86725231,86725232,61,317,885
86734899,86734899,61,317,887
86744564,86744565,61,317,888
86754957,86754958,61,318,887
86764624,86764625,61,319,885
86774291,86774291,61,319,887
86783957,86783958,61,319,886
86793625,86793625,61,318,888
86804376,86804377,61,318,886
86814046,86814047,61,319,886
86823714,86823714,61,319,888
86833385,86833385,61,319,886
