t1,t2,command,force,position
154076714,154076714,50,-1,984
154084714,154084715,50,-1,986
154092714,154092714,50,-1,985
154100718,154100719,50,-1,984
154108712,154108713,50,-1,984
154116714,154116714,50,-1,985
154124714,154124715,50,-1,984
154132714,154132715,50,-1,985
154140719,154140719,50,-1,985
154148713,154148713,50,-1,984
154156714,154156715,50,-1,985
154164714,154164714,50,-1,985
154172714,154172715,50,-1,986
154180719,154180719,50,-1,984
154188713,154188713,50,-1,985
154196714,154196715,50,-1,985
154204714,154204715,50,-1,984
154212714,154212714,50,-1,985
154220718,154220719,50,-1,984
154228713,154228713,50,-1,985
154236714,154236715,50,-1,984
154244714,154244714,50,-1,984
154252714,154252715,50,-1,984
154260718,154260719,50,-1,986
154268713,154268713,50,-1,984
154276714,154276715,50,-1,985
154284714,154284715,50,-1,984
154292715,154292715,50,-1,984
154300719,154300719,50,-1,986
154308713,154308713,50,-1,985
154316714,154316715,50,-1,986
154324714,154324715,50,-1,984
154332714,154332715,50,-1,983
154340719,154340719,50,-1,984
154348713,154348713,50,-1,985
154356714,154356715,50,-1,982
154364714,154364715,50,-1,985
154372714,154372715,50,-1,985
154380719,154380719,50,-1,984
154388713,154388713,50,-1,983
154396714,154396715,50,-1,985
154404714,154404715,50,-1,985
154412714,154412715,50,-1,983
154420718,154420719,50,-1,984
154428713,154428713,50,-1,985
154436714,154436715,50,-1,983
154444714,154444715,50,-1,985
154452714,154452715,50,-1,985
154460718,154460719,50,-1,986
154468713,154468713,50,-1,984
154476714,154476715,50,-1,984
154484715,154484715,50,-1,986
154492714,154492715,50,-1,986
154500719,154500719,50,-1,983
154508713,154508713,50,-1,986
154516714,154516715,50,-1,985
154524714,154524714,50,-1,985
154532714,154532715,50,-1,981
154540718,154540719,50,-1,985
154548713,154548713,50,-1,984
154556714,154556715,50,-1,986
154564714,154564715,50,-1,987
154572714,154572715,50,-1,985
154580718,154580719,50,-1,985
154588713,154588713,50,-1,985
154596714,154596715,50,-1,984
154604714,154604715,50,-1,986
154612714,154612715,50,-1,984
154620718,154620719,50,-1,985
154628713,154628713,50,-1,985
154636715,154636715,50,-1,985
154644714,154644715,50,-1,984
154652714,154652715,50,-1,984
154660719,154660719,50,-1,985
154668713,154668713,50,-1,984
154676714,154676715,50,-1,985
154684714,154684715,50,-1,984
154692714,154692715,50,-1,984
154700719,154700719,50,-1,986
