,oldTime,flex sensor,"actuator position, command","actuator position, measured",force,Trial Number,Target Angle,time
2774,930.375,164.0,5.066666666666666,4.957446808510639,0.44,20.0,75.0,1419.479
2775,930.829,164.0,5.066666666666666,4.97872340425532,0.35,20.0,75.0,1419.933
2776,931.581,164.0,5.066666666666666,3.7021276595744688,0.09,20.0,75.0,1420.685
2777,932.034,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1421.138
2778,932.4860000000001,164.0,5.066666666666666,3.7872340425531914,0.09,20.0,75.0,1421.5900000000001
2779,932.939,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1422.0430000000001
2780,933.3919999999999,164.0,5.066666666666666,3.8510638297872326,0.26,20.0,75.0,1422.496
2781,933.845,164.0,5.066666666666666,3.808510638297872,0.26,20.0,75.0,1422.949
2782,934.297,164.0,5.066666666666666,3.7872340425531914,0.26,20.0,75.0,1423.401
2783,934.75,164.0,5.066666666666666,3.872340425531913,0.35,20.0,75.0,1423.854
2784,935.203,164.0,5.066666666666666,3.8510638297872326,0.35,20.0,75.0,1424.307
2785,935.6560000000001,164.0,5.066666666666666,3.872340425531913,0.26,20.0,75.0,1424.7600000000002
2786,936.1089999999999,164.0,5.066666666666666,3.8510638297872326,0.26,20.0,75.0,1425.213
2787,936.561,164.0,5.066666666666666,3.8297872340425516,0.26,20.0,75.0,1425.665
2788,937.015,164.0,5.066666666666666,3.893617021276597,0.26,20.0,75.0,1426.1190000000001
2789,937.467,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1426.571
2790,937.92,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1427.024
2791,938.373,164.0,5.066666666666666,3.808510638297872,0.0,20.0,75.0,1427.477
2792,938.826,164.0,5.066666666666666,3.893617021276597,0.0,20.0,75.0,1427.93
2793,939.278,164.0,5.066666666666666,3.872340425531913,0.0,20.0,75.0,1428.382
2794,939.7310000000001,164.0,5.066666666666666,3.9148936170212782,0.09,20.0,75.0,1428.835
2795,940.184,164.0,5.066666666666666,3.9361702127659584,0.09,20.0,75.0,1429.288
2796,940.638,164.0,5.066666666666666,3.872340425531913,0.0,20.0,75.0,1429.7420000000002
2797,941.09,164.0,5.066666666666666,3.7872340425531914,0.0,20.0,75.0,1430.194
2798,941.543,164.0,5.066666666666666,3.872340425531913,0.0,20.0,75.0,1430.647
2799,941.9960000000001,164.0,5.066666666666666,3.872340425531913,0.0,20.0,75.0,1431.1000000000001
2800,942.449,164.0,5.066666666666666,3.872340425531913,0.0,20.0,75.0,1431.5529999999999
2801,942.9019999999999,164.0,5.066666666666666,3.9148936170212782,0.0,20.0,75.0,1432.0059999999999
2802,943.3539999999999,164.0,5.066666666666666,3.8510638297872326,0.09,20.0,75.0,1432.458
2803,943.807,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1432.911
2804,944.2610000000001,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1433.3650000000002
2805,944.7130000000001,164.0,5.066666666666666,3.8510638297872326,0.09,20.0,75.0,1433.817
2806,945.166,164.0,5.066666666666666,3.8510638297872326,0.09,20.0,75.0,1434.27
2807,945.6189999999999,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1434.723
2808,946.072,164.0,5.066666666666666,3.8510638297872326,0.09,20.0,75.0,1435.176
2809,946.525,164.0,5.066666666666666,3.808510638297872,0.18,20.0,75.0,1435.629
2810,946.977,164.0,5.066666666666666,3.808510638297872,0.26,20.0,75.0,1436.0810000000001
2811,947.43,164.0,5.066666666666666,3.872340425531913,0.26,20.0,75.0,1436.534
2812,947.883,164.0,5.066666666666666,3.8297872340425516,0.26,20.0,75.0,1436.987
2813,948.336,164.0,5.066666666666666,3.8510638297872326,0.09,20.0,75.0,1437.44
2814,948.788,164.0,5.066666666666666,3.808510638297872,0.26,20.0,75.0,1437.892
2815,949.2410000000001,164.0,5.066666666666666,3.872340425531913,0.09,20.0,75.0,1438.3450000000003
2816,949.694,164.0,5.066666666666666,3.808510638297872,0.09,20.0,75.0,1438.798
2817,950.1469999999999,164.0,5.066666666666666,3.8510638297872326,0.09,20.0,75.0,1439.251
2818,950.5989999999999,164.0,5.066666666666666,3.8510638297872326,0.18,20.0,75.0,1439.703
2819,951.052,163.0,5.28,3.893617021276597,0.26,20.0,75.0,1440.156
2820,951.5060000000001,157.0,5.706666666666668,3.9361702127659584,0.09,20.0,75.0,1440.6100000000001
2821,951.9580000000001,154.0,5.92,3.8297872340425516,0.09,20.0,75.0,1441.0620000000001
2822,952.4110000000001,153.0,5.92,3.872340425531913,0.09,20.0,75.0,1441.515
2823,952.8639999999999,152.0,5.92,3.893617021276597,0.18,20.0,75.0,1441.9679999999998
2824,953.317,146.0,6.346666666666668,3.7659574468085104,0.26,20.0,75.0,1442.421
2825,953.77,139.0,6.7733333333333325,3.9361702127659584,0.09,20.0,75.0,1442.874
2826,954.222,140.0,6.7733333333333325,3.893617021276597,0.26,20.0,75.0,1443.326
2827,954.675,146.0,6.346666666666668,3.872340425531913,0.09,20.0,75.0,1443.779
2828,955.128,152.0,5.92,3.872340425531913,0.09,20.0,75.0,1444.232
2829,955.581,159.0,5.493333333333332,3.8510638297872326,0.09,20.0,75.0,1444.685
2830,956.033,163.0,5.28,3.808510638297872,0.18,20.0,75.0,1445.1370000000002
2831,956.4860000000001,167.0,4.8533333333333335,3.872340425531913,0.26,20.0,75.0,1445.5900000000001
2832,956.94,176.0,4.213333333333333,3.893617021276597,0.18,20.0,75.0,1446.044
2833,957.3919999999999,180.0,4.0,3.8297872340425516,0.09,20.0,75.0,1446.496
2834,957.845,180.0,4.0,3.872340425531913,0.09,20.0,75.0,1446.949
2835,958.298,180.0,4.0,3.893617021276597,0.09,20.0,75.0,1447.402
2836,958.7510000000001,180.0,4.0,3.9361702127659584,0.09,20.0,75.0,1447.855
2837,959.203,180.0,4.0,3.9148936170212782,0.09,20.0,75.0,1448.307
2838,959.6560000000001,180.0,4.0,3.808510638297872,0.09,20.0,75.0,1448.7600000000002
2839,960.1089999999999,180.0,4.0,3.8297872340425516,0.09,20.0,75.0,1449.213
2840,960.562,180.0,4.0,3.9148936170212782,0.09,20.0,75.0,1449.6660000000002
2841,961.015,180.0,4.0,3.8297872340425516,-0.09,20.0,75.0,1450.1190000000001
2842,961.467,180.0,4.0,3.872340425531913,0.0,20.0,75.0,1450.571
2843,961.921,179.0,4.0,3.8510638297872326,0.0,20.0,75.0,1451.025
2844,962.3739999999999,178.0,4.213333333333333,3.808510638297872,-0.18,20.0,75.0,1451.478
2845,962.826,177.0,4.213333333333333,3.893617021276597,0.0,20.0,75.0,1451.93
2846,963.279,176.0,4.213333333333333,3.8297872340425516,0.0,20.0,75.0,1452.383
2847,963.732,172.0,4.64,3.872340425531913,0.0,20.0,75.0,1452.836
2848,964.186,169.0,4.8533333333333335,3.8510638297872326,0.0,20.0,75.0,1453.29
2849,964.638,163.0,5.28,3.872340425531913,0.0,20.0,75.0,1453.7420000000002
2850,965.091,160.0,5.493333333333332,3.872340425531913,0.0,20.0,75.0,1454.1950000000002
2851,965.544,157.0,5.706666666666668,3.9361702127659584,0.0,20.0,75.0,1454.6480000000001
2852,965.997,151.0,6.133333333333333,3.723404255319149,0.09,20.0,75.0,1455.101
2853,966.45,150.0,6.133333333333333,3.872340425531913,0.26,20.0,75.0,1455.554
2854,966.9019999999999,146.0,6.346666666666668,3.9148936170212782,0.09,20.0,75.0,1456.0059999999999
2855,967.355,146.0,6.346666666666668,3.872340425531913,0.09,20.0,75.0,1456.459
2856,967.809,146.0,6.346666666666668,3.872340425531913,0.09,20.0,75.0,1456.913
