time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
39549,0.00,0.00,0.00,0,6
39578,0.00,0.00,0.00,0,6
39608,0.00,0.00,0.00,0,6
39638,0.00,0.00,0.00,0,5
39668,0.00,0.00,0.00,0,6
39697,0.00,0.00,0.00,0,6
39727,0.00,0.00,0.00,0,5
39757,0.00,0.00,0.00,0,6
39787,0.00,0.00,0.00,0,6
39816,0.00,0.00,0.00,0,6,0
39846,0.00,0.00,0.00,0,6
39876,0.00,0.00,0.00,0,6,0
39905,0.00,0.00,0.00,0,6
39935,0.00,0.00,0.00,0,6,0
39965,0.00,0.00,0.00,0,6
39995,0.00,0.00,0.00,0,6,0
40024,0.00,0.00,0.00,0,6
40054,0.00,0.00,0.00,0,6
40084,0.00,0.00,0.00,0,6
40114,0.00,0.00,0.00,0,6
40143,0.00,0.00,0.00,0,5
40173,0.00,0.00,0.00,0,6
40203,0.00,0.00,0.00,0,6
40232,0.00,0.00,0.00,0,6
40262,0.00,0.00,0.00,0,6
40292,0.00,0.00,0.00,0,6
40322,0.00,0.00,0.00,0,6
40351,0.00,0.00,0.00,0,6
40381,0.00,0.00,0.00,0,6
40411,0.00,0.00,0.00,0,6
40441,0.00,0.00,0.00,0,6,0
40470,0.00,0.00,0.00,0,6
40500,0.00,0.00,0.00,0,6,0
40530,0.00,0.00,0.00,0,6
40559,0.00,0.00,0.00,0,5,0
40589,0.00,0.00,0.00,0,6
40619,0.00,0.00,0.00,0,6
40649,0.00,0.00,0.00,0,6
40678,0.00,0.00,0.00,0,6
40708,0.00,0.00,0.00,0,6
40738,0.00,0.00,0.00,0,5
40768,0.00,0.00,0.00,0,6
40797,0.00,0.00,0.00,0,5
40827,0.00,0.00,0.00,0,6
40857,0.00,0.00,0.00,0,6
40887,0.00,0.00,0.00,0,6
40916,0.00,0.00,0.00,0,6
40946,0.00,0.00,0.00,0,6
40976,0.00,0.00,0.00,0,6
41005,0.00,0.00,0.00,0,6,0
41035,0.00,0.00,0.00,0,6
41065,0.00,0.00,0.00,0,6,0
41095,0.00,0.00,0.00,0,6
41124,0.00,0.00,0.00,0,6,0
41154,0.00,0.00,0.00,0,6
41184,0.00,0.00,0.00,0,6,0
41213,0.00,0.00,0.00,0,6
41243,0.00,0.00,0.00,0,6
41273,0.00,0.00,0.00,0,6
41303,0.00,0.00,0.00,0,6
41332,0.00,0.00,0.00,0,6
41362,0.00,0.00,0.00,0,6
41392,0.00,0.00,0.00,0,6
41422,0.00,0.00,0.00,0,6
41451,0.00,0.00,0.00,0,6
41481,0.00,0.00,0.00,0,6
41511,0.00,0.00,0.00,0,6
