t1,t2,command,measured
31406067,31406068,57,926
31413528,31413529,57,930
31420989,31420989,57,930
31428455,31428455,57,928
31435915,31435916,57,929
31443375,31443376,57,929
31450841,31450842,57,929
31458301,31458301,57,926
31465767,31465768,57,929
31473227,31473228,57,930
31480690,31480690,57,924
31488154,31488154,57,929
31495616,31495617,57,930
31503075,31503076,57,928
31510542,31510543,57,928
31518001,31518002,57,929
31525468,31525469,57,928
31532927,31532928,57,929
31540389,31540389,57,929
31547854,31547854,57,927
31555315,31555316,57,930
31562776,31562777,57,928
31570241,31570242,57,929
31577702,31577703,57,929
31585167,31585167,57,929
31592628,31592628,57,931
31600089,31600089,57,927
31607554,31607555,57,928
31615015,31615016,57,929
31622477,31622478,57,928
31629941,31629942,57,929
31637400,31637401,57,929
31644867,31644867,57,928
31652327,31652327,57,929
31659789,31659790,57,929
31667253,31667254,57,928
31674716,31674716,57,926
31682176,31682176,57,930
31689642,31689643,57,930
31697102,31697102,57,929
31704565,31704565,57,930
31712028,31712028,57,927
31719489,31719490,57,930
31726954,31726955,57,930
31734414,31734415,57,929
31741877,31741877,57,928
31749341,31749341,57,929
31756803,31756804,57,929
31764265,31764266,57,929
31771729,31771730,57,930
31779190,31779190,57,929
31786656,31786656,57,929
31794116,31794117,57,930
31801578,31801578,57,928
31809042,31809043,57,928
31816504,31816505,57,931
31823965,31823966,57,929
31831430,31831430,57,929
31838889,31838889,57,929
31846354,31846355,57,927
31853815,31853816,57,932
31861276,31861276,57,929
31868741,31868741,57,929
31876201,31876202,57,930
31883664,31883665,57,930
31891127,31891127,57,928
31898588,31898588,57,928
31906053,31906053,57,929
31913513,31913514,57,928
31920974,31920974,57,929
31928439,31928439,57,928
31935899,31935900,57,929
31943359,31943360,57,929
31950825,31950826,57,927
31958285,31958286,57,930
31965752,31965752,57,930
31973212,31973212,57,929
31980674,31980674,57,929
31988138,31988139,57,930
31995601,31995601,57,930
32003060,32003061,57,930
32010526,32010527,57,929
32017986,32017987,57,929
32025453,32025453,57,929
32032912,32032912,57,926
32040373,32040374,57,930
32047838,32047839,57,931
32055299,32055299,57,929
32062760,32062761,57,928
32070225,32070226,57,929
32077686,32077686,57,929
32085150,32085151,57,929
32092612,32092612,57,926
32100073,32100073,57,929
32107538,32107538,57,930
32114998,32114998,57,930
32122459,32122459,57,927
32129923,32129924,57,925
32137383,32137383,57,928
32144849,32144849,57,929
32152309,32152309,57,932
32159771,32159771,57,931
32167234,32167235,57,931
32174697,32174697,57,929
32182157,32182157,57,930
32189623,32189623,57,929
32197083,32197083,57,929
32204546,32204546,57,928
32212008,32212009,57,929
32219469,32219470,57,929
32226934,32226934,57,930
32234393,32234393,57,931
32241856,32241856,57,928
32249319,32249320,57,929
32256782,32256782,57,928
32264243,32264243,57,928
32271708,32271708,57,931
32279167,32279168,57,929
32286633,32286634,57,925
32294092,32294093,57,929
32301555,32301555,57,929
32309019,32309019,57,927
32316481,32316482,57,930
32323943,32323943,57,930
32331407,32331408,57,929
32338866,32338867,57,929
32346331,32346332,57,929
32353792,32353793,57,929
32361253,32361254,57,929
32368719,32368719,57,929
32376180,32376181,57,930
32383643,32383643,57,928
32391106,32391106,57,929
32398567,32398567,57,927
32406032,32406033,57,929
32413493,32413493,57,929
32420953,32420954,57,930
32428419,32428419,57,929
32435879,32435880,57,932
32443339,32443339,57,929
32450805,32450806,57,929
32458265,32458266,57,931
32465732,32465732,57,929
32473192,32473192,57,929
32480654,32480655,57,931
32488118,32488119,57,929
32495581,32495581,57,929
32503040,32503041,57,931
32510507,32510508,57,928
32517966,32517967,57,931
32525433,32525433,57,930
32532892,32532892,57,929
32540353,32540353,57,930
32547817,32547818,57,929
32555278,32555279,57,929
32562740,32562740,57,929
32570204,32570205,57,929
32577665,32577666,57,929
32585130,32585131,57,928
32592592,32592592,57,928
32600053,32600053,57,926
32607517,32607518,57,927
32614978,32614979,57,929
32622439,32622440,57,930
32629904,32629905,57,930
32637364,32637364,57,927
32644830,32644831,57,931
32652290,32652290,57,929
