,time,flex sensor,"actuator position, command","actuator position, measured",OldForce,Trial Number,Target Angle,force
1896,997.095,114.0,8.266666666666666,8.180371352785146,-20.3,26.0,55.0,2.1121093749999993
1897,997.547,114.0,8.266666666666666,8.222811671087532,-20.39,26.0,55.0,2.0221093749999994
1898,997.9989999999999,114.0,8.266666666666666,8.116710875331565,-20.3,26.0,55.0,2.1121093749999993
1899,998.452,114.0,8.266666666666666,8.201591511936341,-20.3,26.0,55.0,2.1121093749999993
1900,998.904,114.0,8.266666666666666,8.137931034482758,-20.3,26.0,55.0,2.1121093749999993
1901,999.3560000000001,114.0,8.266666666666666,8.26525198938992,-20.3,26.0,55.0,2.1121093749999993
1902,999.809,114.0,8.266666666666666,8.116710875331565,-20.3,26.0,55.0,2.1121093749999993
1903,1000.2610000000001,114.0,8.266666666666666,8.26525198938992,-20.21,26.0,55.0,2.202109374999999
1904,1000.7130000000001,114.0,8.266666666666666,8.201591511936341,-20.21,26.0,55.0,2.202109374999999
1905,1001.166,114.0,8.266666666666666,8.137931034482758,-20.21,26.0,55.0,2.202109374999999
1906,1001.618,113.0,8.48,7.819628647214854,-20.21,26.0,55.0,2.202109374999999
1907,1002.07,107.0,8.693333333333333,8.541114058355438,-20.04,26.0,55.0,2.372109375000001
1908,1002.523,104.0,8.906666666666666,8.710875331564988,-19.51,26.0,55.0,2.9021093749999984
1909,1002.975,102.0,9.12,8.859416445623342,-19.51,26.0,55.0,2.9021093749999984
1910,1003.427,102.0,9.12,8.456233421750664,-19.6,27.0,145.0,2.8121093749999986
1911,1003.88,102.0,9.12,8.965517241379311,-19.34,27.0,145.0,3.072109375
1912,1004.332,102.0,9.12,9.071618037135279,-19.42,27.0,145.0,2.9921093749999983
1913,1004.784,102.0,9.12,9.135278514588858,-19.42,27.0,145.0,2.9921093749999983
1914,1005.237,102.0,9.12,9.071618037135279,-19.25,27.0,145.0,3.162109375
1915,1005.689,102.0,9.12,9.071618037135279,-19.42,27.0,145.0,2.9921093749999983
1916,1006.1410000000001,102.0,9.12,9.02917771883289,-19.34,27.0,145.0,3.072109375
1917,1006.5939999999999,102.0,9.12,9.007957559681698,-19.42,27.0,145.0,2.9921093749999983
1918,1007.046,102.0,9.12,9.02917771883289,-19.42,27.0,145.0,2.9921093749999983
1919,1007.4989999999999,102.0,9.12,8.944297082228116,-19.6,27.0,145.0,2.8121093749999986
1920,1007.952,102.0,9.12,9.071618037135279,-19.6,27.0,145.0,2.8121093749999986
1921,1008.404,102.0,9.12,9.114058355437663,-19.51,27.0,145.0,2.9021093749999984
1922,1008.8560000000001,102.0,9.12,9.050397877984086,-19.34,27.0,145.0,3.072109375
1923,1009.309,102.0,9.12,9.071618037135279,-19.51,27.0,145.0,2.9021093749999984
1924,1009.7610000000001,99.0,9.333333333333332,8.965517241379311,-19.42,27.0,145.0,2.9921093749999983
1925,1010.2130000000001,98.0,9.333333333333332,8.923076923076922,-19.6,27.0,145.0,2.8121093749999986
1926,1010.666,94.0,9.546666666666667,9.580901856763926,-19.07,27.0,145.0,3.3421093749999997
1927,1011.118,88.0,9.973333333333333,9.114058355437663,-19.16,27.0,145.0,3.252109375
1928,1011.57,88.0,9.973333333333333,9.771883289124668,-18.81,27.0,145.0,3.6021093750000013
1929,1012.023,88.0,9.973333333333333,9.771883289124668,-18.63,27.0,145.0,3.782109375000001
1930,1012.475,86.0,10.186666666666667,10.090185676392572,-18.28,28.0,130.0,4.132109374999999
1931,1012.928,86.0,10.186666666666667,10.132625994694962,-18.28,28.0,130.0,4.132109374999999
1932,1013.38,86.0,10.186666666666667,10.132625994694962,-18.37,28.0,130.0,4.042109374999999
1933,1013.832,86.0,10.186666666666667,10.111405835543767,-18.28,28.0,130.0,4.132109374999999
1934,1014.285,86.0,10.186666666666667,10.06896551724138,-18.28,28.0,130.0,4.132109374999999
1935,1014.737,86.0,10.186666666666667,10.132625994694962,-18.46,28.0,130.0,3.952109374999999
1936,1015.189,86.0,10.186666666666667,10.19628647214854,-18.46,28.0,130.0,3.952109374999999
1937,1015.6419999999999,86.0,10.186666666666667,10.090185676392572,-18.54,28.0,130.0,3.872109375000001
1938,1016.0939999999999,86.0,10.186666666666667,10.090185676392572,-18.54,28.0,130.0,3.872109375000001
1939,1016.546,86.0,10.186666666666667,10.153846153846152,-18.54,28.0,130.0,3.872109375000001
1940,1016.9989999999999,86.0,10.186666666666667,10.06896551724138,-18.63,28.0,130.0,3.782109375000001
1941,1017.451,86.0,10.186666666666667,10.06896551724138,-18.54,28.0,130.0,3.872109375000001
1942,1017.903,86.0,10.186666666666667,10.047745358090186,-18.63,28.0,130.0,3.782109375000001
1943,1018.3560000000001,86.0,10.186666666666667,10.153846153846152,-18.63,28.0,130.0,3.782109375000001
1944,1018.808,86.0,10.186666666666667,10.090185676392572,-18.72,28.0,130.0,3.692109375000001
1945,1019.26,86.0,10.186666666666667,10.047745358090186,-18.72,28.0,130.0,3.692109375000001
1946,1019.7130000000001,86.0,10.186666666666667,10.132625994694962,-18.72,28.0,130.0,3.692109375000001
1947,1020.165,86.0,10.186666666666667,10.111405835543767,-18.63,28.0,130.0,3.782109375000001
1948,1020.618,86.0,10.186666666666667,10.111405835543767,-18.72,28.0,130.0,3.692109375000001
1949,1021.07,85.0,10.186666666666667,10.19628647214854,-18.72,28.0,130.0,3.692109375000001
1950,1021.523,82.0,10.4,9.517241379310343,-18.72,28.0,130.0,3.692109375000001
1951,1021.975,82.0,10.4,10.090185676392572,-18.72,28.0,130.0,3.692109375000001
1952,1022.427,78.0,10.613333333333333,10.53580901856764,-18.46,28.0,130.0,3.952109374999999
1953,1022.88,75.0,10.826666666666668,10.514588859416444,-18.46,28.0,130.0,3.952109374999999
1954,1023.332,72.0,11.04,10.875331564986737,-17.75,28.0,130.0,4.662109375
1955,1023.784,69.0,11.253333333333336,10.89655172413793,-17.67,28.0,130.0,4.742109374999998
1956,1024.238,66.0,11.466666666666667,11.12997347480106,-17.14,29.0,115.0,5.272109374999999
1957,1024.69,66.0,11.466666666666667,11.278514588859416,-16.61,29.0,115.0,5.802109375000001
1958,1025.142,66.0,11.466666666666667,11.002652519893902,-16.7,29.0,115.0,5.712109375000001
1959,1025.595,66.0,11.466666666666667,11.405835543766576,-16.44,29.0,115.0,5.972109374999999
1960,1026.047,66.0,11.466666666666667,11.46949602122016,-16.61,29.0,115.0,5.802109375000001
1961,1026.499,66.0,11.466666666666667,11.533156498673739,-16.61,29.0,115.0,5.802109375000001
1962,1026.952,66.0,11.466666666666667,11.320954907161806,-16.61,29.0,115.0,5.802109375000001
1963,1027.404,66.0,11.466666666666667,11.363395225464188,-16.61,29.0,115.0,5.802109375000001
1964,1027.857,66.0,11.466666666666667,11.405835543766576,-16.61,29.0,115.0,5.802109375000001
1965,1028.309,66.0,11.466666666666667,11.384615384615385,-16.7,29.0,115.0,5.712109375000001
1966,1028.761,66.0,11.466666666666667,11.384615384615385,-16.88,29.0,115.0,5.532109375000001
1967,1029.214,66.0,11.466666666666667,11.448275862068966,-16.7,29.0,115.0,5.712109375000001
1968,1029.667,66.0,11.466666666666667,11.448275862068966,-16.88,29.0,115.0,5.532109375000001
1969,1030.119,66.0,11.466666666666667,11.533156498673739,-16.88,29.0,115.0,5.532109375000001
